model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,n_instances_c,n_positives_c,n_negatives_c,tp_cw,tn_cw,fp_cw,fn_cw,n_instances_cw,n_positives_cw,n_negatives_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote,warning_feature,feature_set
bayes_network,overall,{'var_smoothing': 1e-09},BD50,33,141,131,38,343,71,272,36,137,135,35,343,71,272,0.2012195121951219,0.4647887323943662,0.2808510638297872,0.5072886297376094,0.2105263157894736,0.5070422535211268,0.2975206611570248,0.5043731778425656,0.492150072150072,0.5062722462722463,0.0093068035943517,0.0422535211267605,0.0166695973272375,-0.0029154518950437,0.0141221741221742,exp55-BD50-feature-set2-NO-SMOTE,False,warning_sum,set2
logistic_regression,overall,"{'C': 1, 'random_state': 1699304546, 'solver': 'liblinear', 'penalty': 'l1'}",BD50,9,258,14,62,343,71,272,8,259,13,63,343,71,272,0.391304347826087,0.1267605633802817,0.1914893617021276,0.7784256559766763,0.3809523809523809,0.1126760563380281,0.1739130434782608,0.7784256559766763,0.5375757575757576,0.5322847522847522,-0.010351966873706,-0.0140845070422535,-0.0175763182238667,0.0,-0.0052910052910053,exp55-BD50-feature-set2-NO-SMOTE,False,warning_sum,set2
logistic_regression,overall,"{'solver': 'liblinear', 'penalty': 'l1', 'C': 20, 'random_state': 1699304546}",BD50,13,247,25,58,343,71,272,14,248,24,57,343,71,272,0.3421052631578947,0.1830985915492957,0.2385321100917431,0.7580174927113703,0.3684210526315789,0.1971830985915492,0.2568807339449541,0.7638483965014577,0.5455363155363155,0.5544973544973544,0.0263157894736841,0.0140845070422535,0.0183486238532109,0.0058309037900874,0.0089610389610388,exp55-BD50-feature-set2-NO-SMOTE,False,warning_sum,set2
logistic_regression,overall,"{'solver': 'liblinear', 'random_state': 1699304546, 'penalty': 'l1', 'C': 100000000.0}",BD50,14,247,25,57,343,71,272,14,247,25,57,343,71,272,0.358974358974359,0.1971830985915492,0.2545454545454545,0.760932944606414,0.358974358974359,0.1971830985915492,0.2545454545454545,0.760932944606414,0.5526791726791725,0.5526791726791725,0.0,0.0,0.0,0.0,0.0,exp55-BD50-feature-set2-NO-SMOTE,False,warning_sum,set2
logistic_regression,overall,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 20, 'random_state': 1699304546}",BD50,14,253,19,57,343,71,272,13,253,19,58,343,71,272,0.4242424242424242,0.1971830985915492,0.2692307692307692,0.7784256559766763,0.40625,0.1830985915492957,0.2524271844660194,0.7755102040816326,0.5636892736892737,0.5565127465127465,-0.0179924242424242,-0.0140845070422535,-0.0168035847647498,-0.0029154518950437,-0.0071765271765271,exp55-BD50-feature-set2-NO-SMOTE,False,warning_sum,set2
logistic_regression,overall,"{'solver': 'liblinear', 'random_state': 1699304546, 'penalty': 'l1', 'C': 5}",BD50,15,253,19,56,343,71,272,15,252,20,56,343,71,272,0.4411764705882353,0.2112676056338028,0.2857142857142857,0.7813411078717201,0.4285714285714285,0.2112676056338028,0.2830188679245283,0.7784256559766763,0.5708321308321308,0.5689802789802789,-0.0126050420168067,0.0,-0.0026954177897574,-0.0029154518950437,-0.0018518518518518,exp55-BD50-feature-set2-NO-SMOTE,False,warning_sum,set2
logistic_regression,overall,"{'solver': 'liblinear', 'penalty': 'l2', 'random_state': 1699304546, 'C': 5}",BD50,14,252,20,57,343,71,272,13,253,19,58,343,71,272,0.4117647058823529,0.1971830985915492,0.2666666666666666,0.7755102040816326,0.40625,0.1830985915492957,0.2524271844660194,0.7755102040816326,0.5618374218374218,0.5565464165464166,-0.0055147058823529,-0.0140845070422535,-0.0142394822006472,0.0,-0.0052910052910052,exp55-BD50-feature-set2-NO-SMOTE,False,warning_sum,set2
knn_classifier,overall,"{'weights': 'distance', 'n_neighbors': 11, 'metric': 'manhattan'}",BD50,11,245,27,60,343,71,272,11,245,27,60,343,71,272,0.2894736842105263,0.1549295774647887,0.201834862385321,0.7463556851311953,0.2894736842105263,0.1549295774647887,0.201834862385321,0.7463556851311953,0.5279220779220779,0.5279220779220779,0.0,0.0,0.0,0.0,0.0,exp55-BD50-feature-set2-NO-SMOTE,False,warning_sum,set2
knn_classifier,overall,"{'weights': 'distance', 'n_neighbors': 15, 'metric': 'manhattan'}",BD50,11,246,26,60,343,71,272,11,246,26,60,343,71,272,0.2972972972972973,0.1549295774647887,0.2037037037037037,0.749271137026239,0.2972972972972973,0.1549295774647887,0.2037037037037037,0.749271137026239,0.5297739297739297,0.5297739297739297,0.0,0.0,0.0,0.0,0.0,exp55-BD50-feature-set2-NO-SMOTE,False,warning_sum,set2
knn_classifier,overall,"{'weights': 'uniform', 'n_neighbors': 3, 'metric': 'manhattan'}",BD50,12,242,30,59,343,71,272,12,242,30,59,343,71,272,0.2857142857142857,0.1690140845070422,0.2123893805309734,0.7405247813411079,0.2857142857142857,0.1690140845070422,0.2123893805309734,0.7405247813411079,0.5290668590668591,0.5290668590668591,0.0,0.0,0.0,0.0,0.0,exp55-BD50-feature-set2-NO-SMOTE,False,warning_sum,set2
