model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,tp_cw,tn_cw,fp_cw,fn_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote
SVC,overall,"c - {'C': 1, 'kernel': 'rbf', 'random_state': 42}",PBU,189,73,62,120,188,73,62,121,0.7529880478087649,0.6116504854368932,0.675,0.5900900900900901,0.752,0.6084142394822006,0.6726296958855098,0.5878378378378378,0.5776113671274962,0.5759984639016897,-0.0009880478087649,-0.0032362459546925,-0.0023703041144902,-0.0022522522522522,-0.0016129032258064,exp4-Kendals-PBU,True
SVC,overall,"c - {'kernel': 'sigmoid', 'random_state': 42, 'C': 10}",PBU,174,61,74,135,155,64,71,154,0.7016129032258065,0.5631067961165048,0.6247755834829444,0.5292792792792793,0.6858407079646017,0.5016181229773463,0.5794392523364486,0.4932432432432432,0.5068935365709559,0.4872314781992201,-0.0157721952612047,-0.0614886731391585,-0.0453363311464958,-0.036036036036036,-0.0196620583717358,exp4-Kendals-PBU,True
SVC,overall,"c - {'kernel': 'rbf', 'random_state': 42, 'C': 0.1}",PBU,194,57,78,115,200,55,80,109,0.7132352941176471,0.627831715210356,0.6678141135972461,0.5653153153153153,0.7142857142857143,0.6472491909385113,0.6791171477079796,0.5743243243243243,0.5258992083185632,0.5284337705305447,0.0010504201680672,0.0194174757281553,0.0113030341107335,0.009009009009009,0.0025345622119815,exp4-Kendals-PBU,True
SVC,overall,"c - {'kernel': 'sigmoid', 'C': 1, 'random_state': 42}",PBU,162,64,71,147,176,54,81,133,0.6952789699570815,0.5242718446601942,0.5977859778597785,0.509009009009009,0.6848249027237354,0.56957928802589,0.6219081272084804,0.5180180180180181,0.4988024341250147,0.484563984402694,-0.010454067233346,0.0453074433656958,0.0241221493487019,0.009009009009009,-0.0142384497223207,exp4-Kendals-PBU,True
SVC,overall,"c - {'kernel': 'rbf', 'random_state': 42, 'C': 0.1}",ABU50,147,125,96,76,147,125,96,76,0.6049382716049383,0.6591928251121076,0.6309012875536482,0.6126126126126126,0.6049382716049383,0.6591928251121076,0.6309012875536482,0.6126126126126126,0.6127470355731226,0.6127470355731226,0.0,0.0,0.0,0.0,0.0,exp5-Kendals-ABU50,True
SVC,overall,"c - {'C': 1, 'kernel': 'rbf', 'random_state': 42}",BD50,66,137,221,20,65,138,220,21,0.229965156794425,0.7674418604651163,0.353887399463807,0.4572072072072072,0.2280701754385964,0.7558139534883721,0.3504043126684636,0.4572072072072072,0.5738690476190476,0.5696230158730159,-0.0018949813558286,-0.0116279069767442,-0.0034830867953433,0.0,-0.0042460317460316,exp6-Kendals-BD50,True
SVC,overall,"c - {'random_state': 42, 'kernel': 'rbf', 'C': 10}",BD50,60,152,206,26,59,151,207,27,0.225563909774436,0.6976744186046512,0.3409090909090909,0.4774774774774775,0.2218045112781954,0.686046511627907,0.3352272727272727,0.4729729729729729,0.5600198412698413,0.5524603174603174,-0.0037593984962406,-0.0116279069767442,-0.0056818181818181,-0.0045045045045045,-0.0075595238095238,exp6-Kendals-BD50,True
SVC,overall,"cw - {'kernel': 'rbf', 'random_state': 42, 'C': 0.1}",BD50,71,121,237,15,71,122,236,15,0.2305194805194805,0.8255813953488372,0.3604060913705583,0.4324324324324324,0.2312703583061889,0.8255813953488372,0.361323155216285,0.4346846846846847,0.581388888888889,0.5827777777777777,0.0007508777867084,0.0,0.0009170638457266,0.0022522522522522,0.0013888888888887,exp6-Kendals-BD50,True
knn_classifier,overall,"c - {'n_neighbors': 15, 'weights': 'uniform'}",PBU,156,80,55,153,152,81,54,157,0.7393364928909952,0.5048543689320388,0.6000000000000001,0.5315315315315315,0.7378640776699029,0.4919093851132686,0.5902912621359223,0.5247747747747747,0.5496183386505967,0.5458064516129032,-0.0014724152210923,-0.0129449838187702,-0.0097087378640777,-0.0067567567567567,-0.0038118870376935,exp4-Kendals-PBU,True
knn_classifier,overall,"c - {'n_neighbors': 11, 'weights': 'uniform'}",ABU50,126,130,91,97,128,133,88,95,0.5806451612903226,0.5650224215246636,0.5727272727272728,0.5765765765765766,0.5925925925925926,0.5739910313901345,0.5831435079726651,0.5878378378378378,0.5763833992094861,0.5879446640316206,0.0119474313022699,0.0089686098654708,0.0104162352453923,0.0112612612612612,0.0115612648221344,exp5-Kendals-ABU50,True
knn_classifier,overall,"c - {'n_neighbors': 15, 'weights': 'uniform'}",ABU50,124,160,61,99,128,155,66,95,0.6702702702702703,0.5560538116591929,0.607843137254902,0.6396396396396397,0.6597938144329897,0.5739910313901345,0.6139088729016786,0.6373873873873874,0.6397233201581028,0.6374505928853755,-0.0104764558372806,0.0179372197309416,0.0060657356467765,-0.0022522522522522,-0.0022727272727273,exp5-Kendals-ABU50,True
knn_classifier,overall,"cw - {'n_neighbors': 7, 'weights': 'uniform'}",ABU50,134,133,88,89,136,130,91,87,0.6036036036036037,0.600896860986547,0.602247191011236,0.6013513513513513,0.5991189427312775,0.6098654708520179,0.6044444444444445,0.5990990990990991,0.6012845849802372,0.5989130434782609,-0.0044846608723261,0.0089686098654708,0.0021972534332084,-0.0022522522522522,-0.0023715415019762,exp5-Kendals-ABU50,True
knn_classifier,overall,"c - {'n_neighbors': 9, 'weights': 'uniform'}",ABU50,127,130,91,96,127,129,92,96,0.5825688073394495,0.5695067264573991,0.5759637188208617,0.5788288288288288,0.5799086757990868,0.5695067264573991,0.574660633484163,0.5765765765765766,0.5787549407114623,0.5766798418972332,-0.0026601315403627,0.0,-0.0013030853366987,-0.0022522522522522,-0.002075098814229,exp5-Kendals-ABU50,True
knn_classifier,overall,"cw - {'n_neighbors': 13, 'weights': 'uniform'}",ABU50,120,147,74,103,123,145,76,100,0.6185567010309279,0.5381165919282511,0.5755395683453237,0.6013513513513513,0.6180904522613065,0.5515695067264574,0.5829383886255924,0.6036036036036037,0.6010869565217393,0.6034584980237154,-0.0004662487696213,0.0134529147982063,0.0073988202802687,0.0022522522522523,0.0023715415019761,exp5-Kendals-ABU50,True
knn_classifier,overall,"c - {'n_neighbors': 15, 'weights': 'uniform'}",BD50,42,247,111,44,41,260,98,45,0.2745098039215686,0.4883720930232558,0.3514644351464435,0.6509009009009009,0.2949640287769784,0.4767441860465116,0.3644444444444444,0.6779279279279279,0.5901388888888889,0.6020634920634921,0.0204542248554097,-0.0116279069767441,0.0129800092980009,0.0270270270270269,0.0119246031746031,exp6-Kendals-BD50,True
logistic_regression,overall,"c - {'C': 100000000.0, 'penalty': 'l2', 'random_state': 42, 'solver': 'liblinear'}",PBU,180,77,58,129,178,74,61,131,0.7563025210084033,0.5825242718446602,0.6581352833638026,0.5788288288288288,0.7447698744769874,0.5760517799352751,0.6496350364963503,0.5675675675675675,0.5767895545314901,0.5617505612666903,-0.0115326465314159,-0.006472491909385,-0.0085002468674522,-0.0112612612612612,-0.0150389932647997,exp4-Kendals-PBU,True
logistic_regression,overall,"cw - {'solver': 'liblinear', 'penalty': 'l2', 'C': 20, 'random_state': 42}",PBU,180,77,58,129,178,73,62,131,0.7563025210084033,0.5825242718446602,0.6581352833638026,0.5788288288288288,0.7416666666666667,0.5760517799352751,0.6484517304189436,0.5653153153153153,0.5767895545314901,0.5581791326952616,-0.0146358543417366,-0.006472491909385,-0.009683552944859,-0.0135135135135134,-0.0186104218362284,exp4-Kendals-PBU,True
logistic_regression,overall,"cw - {'solver': 'liblinear', 'penalty': 'l2', 'C': 15, 'random_state': 42}",PBU,179,77,58,130,178,73,62,131,0.7552742616033755,0.5792880258899676,0.6556776556776557,0.5765765765765766,0.7416666666666667,0.5760517799352751,0.6484517304189436,0.5653153153153153,0.5751766513056834,0.5581791326952616,-0.0136075949367088,-0.0032362459546925,-0.0072259252587121,-0.0112612612612612,-0.0169975186104217,exp4-Kendals-PBU,True
logistic_regression,overall,"cw - {'solver': 'liblinear', 'penalty': 'l2', 'random_state': 42, 'C': 0.1}",PBU,143,78,57,166,144,80,55,165,0.715,0.4627831715210356,0.56188605108055,0.4977477477477477,0.7236180904522613,0.4660194174757281,0.5669291338582677,0.5045045045045045,0.5216749379652607,0.5304844617747844,0.0086180904522613,0.0032362459546925,0.0050430827777177,0.0067567567567566,0.0088095238095237,exp4-Kendals-PBU,True
