model,iteration,hyperparameters,target,tp_c,tn_c,fp_c,fn_c,n_instances_c,n_positives_c,n_negatives_c,tp_cw,tn_cw,fp_cw,fn_cw,n_instances_cw,n_positives_cw,n_negatives_cw,precision_c,recall_c,f1_c,accuracy_c,precision_cw,recall_cw,f1_cw,accuracy_cw,auc_c,auc_cw,diff_precision,diff_recall,diff_f1,diff_accuracy,diff_auc,experiment,use_smote,warning_feature,feature_set
bayes_network,overall,{'var_smoothing': 1e-09},PBU,123,58,40,123,344,246,98,130,58,40,116,344,246,98,0.754601226993865,0.5,0.6014669926650366,0.5261627906976745,0.7647058823529411,0.5284552845528455,0.625,0.5465116279069767,0.5461933404940924,0.5598711063372717,0.0101046553590761,0.0284552845528455,0.0235330073349634,0.0203488372093022,0.0136777658431792,exp8-PBU-feature-set1-SMOTE,True,warnings_infer,set1
logistic_regression,overall,"{'solver': 'liblinear', 'penalty': 'l2', 'random_state': 1699304546, 'C': 0.01}",PBU,163,47,51,83,344,246,98,165,46,52,81,344,246,98,0.7616822429906542,0.6626016260162602,0.7086956521739131,0.6104651162790697,0.7603686635944701,0.6707317073170732,0.712742980561555,0.6133720930232558,0.571265306122449,0.5700429645542429,-0.0013135793961841,0.008130081300813,0.0040473283876419,0.002906976744186,-0.0012223415682061,exp8-PBU-feature-set1-SMOTE,True,warnings_infer,set1
logistic_regression,overall,"{'solver': 'liblinear', 'random_state': 1699304546, 'penalty': 'l1', 'C': 0.1}",PBU,165,45,53,81,344,246,98,165,45,53,81,344,246,98,0.7568807339449541,0.6707317073170732,0.7112068965517242,0.6104651162790697,0.7568807339449541,0.6707317073170732,0.7112068965517242,0.6104651162790697,0.5649613319011816,0.5649613319011816,0.0,0.0,0.0,0.0,0.0,exp8-PBU-feature-set1-SMOTE,True,warnings_infer,set1
logistic_regression,overall,"{'solver': 'liblinear', 'penalty': 'l2', 'random_state': 1699304546, 'C': 0.1}",PBU,162,46,52,84,344,246,98,161,43,55,85,344,246,98,0.7570093457943925,0.6585365853658537,0.7043478260869566,0.6046511627906976,0.7453703703703703,0.6544715447154471,0.6969696969696969,0.5930232558139535,0.5639613319011817,0.5463941997851772,-0.0116389754240221,-0.0040650406504065,-0.0073781291172596,-0.011627906976744,-0.0175671321160044,exp8-PBU-feature-set1-SMOTE,True,warnings_infer,set1
knn_classifier,overall,"{'weights': 'uniform', 'metric': 'euclidean', 'n_neighbors': 15}",PBU,130,49,49,116,344,246,98,130,49,49,116,344,246,98,0.7262569832402235,0.5284552845528455,0.6117647058823529,0.5203488372093024,0.7262569832402235,0.5284552845528455,0.6117647058823529,0.5203488372093024,0.5143447905477981,0.5143447905477981,0.0,0.0,0.0,0.0,0.0,exp8-PBU-feature-set1-SMOTE,True,warnings_infer,set1
knn_classifier,overall,"{'n_neighbors': 7, 'weights': 'uniform', 'metric': 'euclidean'}",PBU,147,44,54,99,344,246,98,147,44,54,99,344,246,98,0.7313432835820896,0.5975609756097561,0.6577181208053691,0.5552325581395349,0.7313432835820896,0.5975609756097561,0.6577181208053691,0.5552325581395349,0.5239162191192267,0.5239162191192267,0.0,0.0,0.0,0.0,0.0,exp8-PBU-feature-set1-SMOTE,True,warnings_infer,set1
knn_classifier,overall,"{'n_neighbors': 13, 'metric': 'euclidean', 'weights': 'uniform'}",PBU,125,47,51,121,344,246,98,125,47,51,121,344,246,98,0.7102272727272727,0.508130081300813,0.5924170616113744,0.5,0.7102272727272727,0.508130081300813,0.5924170616113744,0.5,0.4939591836734694,0.4939591836734694,0.0,0.0,0.0,0.0,0.0,exp8-PBU-feature-set1-SMOTE,True,warnings_infer,set1
SVC,overall,"{'C': 0.1, 'random_state': 1699304546, 'kernel': 'rbf', 'degree': 2}",PBU,181,22,76,65,344,246,98,181,22,76,65,344,246,98,0.7042801556420234,0.7357723577235772,0.7196819085487078,0.5901162790697675,0.7042801556420234,0.7357723577235772,0.7196819085487078,0.5901162790697675,0.4797787325456498,0.4797787325456498,0.0,0.0,0.0,0.0,0.0,exp8-PBU-feature-set1-SMOTE,True,warnings_infer,set1
SVC,overall,"{'degree': 2, 'C': 1, 'kernel': 'rbf', 'random_state': 1699304546}",PBU,156,37,61,90,344,246,98,152,37,61,94,344,246,98,0.7188940092165899,0.6341463414634146,0.673866090712743,0.561046511627907,0.7136150234741784,0.6178861788617886,0.6623093681917211,0.5494186046511628,0.5046294307196563,0.4965886143931256,-0.0052789857424114,-0.0162601626016259,-0.0115567225210218,-0.0116279069767442,-0.0080408163265306,exp8-PBU-feature-set1-SMOTE,True,warnings_infer,set1
SVC,overall,"{'degree': 2, 'kernel': 'sigmoid', 'C': 1, 'random_state': 1699304546}",PBU,133,40,58,113,344,246,98,133,40,58,113,344,246,98,0.6963350785340314,0.540650406504065,0.608695652173913,0.502906976744186,0.6963350785340314,0.540650406504065,0.608695652173913,0.502906976744186,0.4765198711063373,0.4765198711063373,0.0,0.0,0.0,0.0,0.0,exp8-PBU-feature-set1-SMOTE,True,warnings_infer,set1
